2018-12-28 13:40:04,451 [e-1136-b06]   INFO - gs.impl.UpdateCheckerComponent - channel: release 
2018-12-28 13:40:06,481 [e-1136-b06]   INFO - il.indexing.FileBasedIndexImpl - Index exts enumerated:1820, number of extensions:35 
2018-12-28 13:40:06,511 [e-1136-b06]   INFO - il.indexing.FileBasedIndexImpl - Index scheduled:29 
2018-12-28 13:40:06,683 [e-1136-b06]   INFO - tellij.psi.stubs.StubIndexImpl - All stub exts enumerated:170, number of extensions:50 
2018-12-28 13:40:06,690 [e-1136-b06]   INFO - tellij.psi.stubs.StubIndexImpl - stub exts update scheduled:6 
2018-12-28 13:40:10,401 [d thread 3]   INFO - ij.psi.stubs.StubUpdatingIndex - Following new file types will be indexed:Groovy,kotlin_builtins,JAVA,Kotlin,HTML,XML,Properties,CLASS,GDBCommands,KJSM,LLDBCommands 
2018-12-28 13:40:12,532 [e-1136-b06]   INFO - ellij.project.impl.ProjectImpl - 21 project components initialized in 3836 ms 
2018-12-28 13:40:14,259 [d thread 3]   INFO - pl$FileIndexDataInitialization - Initialization done:7750 
2018-12-28 13:40:14,407 [d thread 3]   INFO - exImpl$StubIndexInitialization - Initialization done:147 
2018-12-28 13:40:15,320 [e-1136-b06]   INFO - com.intellij.ide.ui.UISettings - Loaded: fontSize=12, fontScale=1.0; restored: fontSize=12, fontScale=1.0 
2018-12-28 13:40:21,871 [e-1136-b06]   INFO - plication.impl.ApplicationImpl - 88 application components initialized in 31816ms 
2018-12-28 13:40:21,939 [e-1136-b06]   INFO - .intellij.idea.IdeaApplication - App initialization took 55773 ms 
2018-12-28 13:40:23,655 [d thread 4]   INFO - dea.updater.SdkComponentSource - Downloading file:/opt/android-studio/plugins/sdk-updates/offline-repo/offline-repo.xml 
2018-12-28 13:40:25,031 [d thread 5]   WARN - ess.util.ProgressIndicatorBase - This progress indicator is indeterminate, this may lead to visual inconsistency. Please call setIndeterminate(false) before you start progress. 
2018-12-28 13:40:25,032 [d thread 5]   INFO - s.RepoProgressIndicatorAdapter - Downloading file:/opt/android-studio/plugins/sdk-updates/offline-repo/offline-repo.xml 
2018-12-28 13:40:25,359 [d thread 4]   INFO - dea.updater.SdkComponentSource - Downloading https://dl.google.com/android/repository/repository2-1.xml 
2018-12-28 13:40:25,367 [d thread 5]   INFO - s.RepoProgressIndicatorAdapter - File /home/john/.android/repositories.cfg could not be loaded. 
2018-12-28 13:40:25,373 [d thread 5]   INFO - s.RepoProgressIndicatorAdapter - Downloading https://dl.google.com/android/repository/repository2-1.xml 
2018-12-28 13:40:25,664 [d thread 1]   INFO - .openapi.application.Preloader - Finished preloading com.intellij.openapi.actionSystem.impl.ActionPreloader@5fc7c49e 
2018-12-28 13:40:26,868 [d thread 4]   INFO - dea.updater.SdkComponentSource - Downloading https://dl.google.com/android/repository/addons_list-3.xml 
2018-12-28 13:40:26,959 [d thread 5]   INFO - s.RepoProgressIndicatorAdapter - Downloading https://dl.google.com/android/repository/addons_list-3.xml 
2018-12-28 13:40:27,149 [d thread 4]   INFO - dea.updater.SdkComponentSource - Downloading https://dl.google.com/android/repository/sys-img/android/sys-img2-1.xml 
2018-12-28 13:40:27,224 [d thread 5]   INFO - s.RepoProgressIndicatorAdapter - Downloading https://dl.google.com/android/repository/sys-img/android/sys-img2-1.xml 
2018-12-28 13:40:27,971 [d thread 5]   INFO - s.RepoProgressIndicatorAdapter - Downloading https://dl.google.com/android/repository/sys-img/android-wear/sys-img2-1.xml 
2018-12-28 13:40:28,010 [d thread 4]   INFO - dea.updater.SdkComponentSource - Downloading https://dl.google.com/android/repository/sys-img/android-wear/sys-img2-1.xml 
2018-12-28 13:40:28,235 [d thread 5]   INFO - s.RepoProgressIndicatorAdapter - Downloading https://dl.google.com/android/repository/sys-img/android-wear-cn/sys-img2-1.xml 
2018-12-28 13:40:28,363 [d thread 4]   INFO - dea.updater.SdkComponentSource - Downloading https://dl.google.com/android/repository/sys-img/android-wear-cn/sys-img2-1.xml 
2018-12-28 13:40:28,500 [d thread 5]   INFO - s.RepoProgressIndicatorAdapter - Downloading https://dl.google.com/android/repository/sys-img/android-tv/sys-img2-1.xml 
2018-12-28 13:40:28,659 [d thread 4]   INFO - dea.updater.SdkComponentSource - Downloading https://dl.google.com/android/repository/sys-img/android-tv/sys-img2-1.xml 
2018-12-28 13:40:28,874 [d thread 5]   INFO - s.RepoProgressIndicatorAdapter - Downloading https://dl.google.com/android/repository/sys-img/google_apis/sys-img2-1.xml 
2018-12-28 13:40:28,982 [d thread 4]   INFO - dea.updater.SdkComponentSource - Downloading https://dl.google.com/android/repository/sys-img/google_apis/sys-img2-1.xml 
